NAME,Data shape,DATA_TYPE,CATDESC,VAR_TYPE,RECORD_VARYING,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALETYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,(1) center time of pointing,CDF_TIME_TT2000,"Time, number of nanoseconds since J2000 with leap seconds included",support_data,RV,,,,,no_plot,,epoch,,epoch,ns,1990-01-01T00:00:00.000000000,2099-12-31T00:00:00.000000000,9999-12-31T23:59:59.999999999,,,,,linear,,,J2000,Terrestrial Time,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,
epoch_delta,(1) range of pointing,CDF_INT8,epoch_delta,support_data,RV,epoch,,,,no_plot,,epoch_delta,I19,epoch_delta,ns,0,86000000000000,-9223372036854775808,,,,,linear,,,,,,,,,,,,,,,,,,,
energy,(16) non record varying,CDF_FLOAT,Energies associated with the survival probabilites for IMAP-Hi,support_data,NRV,,,,,no_plot,,energy,g9.3,energy,kEV,0,10000000000,-1.0000E+31,,,,,linear,,,,,,,,,,,,,,,,,,,
spin_angle,"(360) non record varying, bin center",CDF_FLOAT,"Angle on the circle around axis rotation, with the radius elongation angle. The 0 spin_angle is the direction nearest north pole.",support_data,NRV,,,,,no_plot,,spin_angle,g9.3,spin angle,degree,0,360,-1.0000E+31,,,,,linear,,,,,,,,,,,,,,,,,,,
probability_of_survival,"(epoch, energy, spin_angle)",CDF_FLOAT,Survival probabilities for IMAP-Hi,data,RV,epoch,energy,spin_angle,,spectrogram,"primary var, summary",probability_of_survival,g9.3,probability of survival,,0,1,-1.0000E+31,energy_label,spin_angle_label,,,linear,,,,,,,,,,,,,,,,,,,
energy_label,,CDF_CHAR,Label for energy,metadata,,,,,,,,energy_label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spin_angle_label,,CDF_CHAR,Label for spin angle,metadata,,,,,,,,spin_angle_label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
