NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,CDF_TIME_TT2000,"Time, number of nanoseconds since J2000 with leap seconds included",,,,,support_data,RV,,,epoch,,epoch,ns,2010-01-01T00:00:00.000000000,2040-01-01T00:00:00.000000000,9999-12-31T23:59:59.999999999,,,,,linear,,,J2000,Terrestrial Time,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,1e-9>seconds
epoch_delta,CDF_INT8,epoch_DELTA,epoch,,,,support_data,NRV,time_series,,epoch_delta,I19,,ns,0,86000000000000,-9223372036854775808,,,,,linear,,,,,,,,,,,,,,0,86000000000000,,,,1e-9>seconds
combined_energy,CDF_REAL4,Solar Wind Energy,epoch,,,,support_data,RV,time_series,,combined_energy,F19.3,Energy,eV/q,0,9223372036854775807,-1.000000e+31,,,,,log,,,,,,,,,combined_energy_delta_minus,combined_energy_delta_plus,,,,0,1000,,,,
combined_energy_delta_minus,CDF_REAL4,Solar Wind Energy Delta Minus,epoch,,,,support_data,RV,time_series,,combined_energy_delta_minus,F19.3,Energy Delta Minus,eV/q,0,9223372036854775807,-1.000000e+31,,,,,,,,,,,,,,,,,,,,,,,,
combined_energy_delta_plus,CDF_REAL4,Solar Wind Energy Delta Plus,epoch,,,,support_data,RV,time_series,,combined_energy_delta_plus,F19.3,Energy Delta Plus,eV/q,0,9223372036854775807,-1.000000e+31,,,,,,,,,,,,,,,,,,,,,,,,
combined_differential_flux,CDF_REAL4,Combined Differential Flux,epoch,combined_energy,,,data,RV,spectrogram,"PRIMARY_VAR,SUMMARY",combined_differential_flux,F19.3,Differential Flux,cm!E-2!N sr!E-1!N s!E-1!N (eV/q)!E-1!N',0,9223372036854775807,-1.000000e+31,combined_energy_label,,,,log,,,,,,,,,combined_differential_flux_delta,combined_differential_flux_delta,,,,.000001,1000000,,,,
combined_differential_flux_delta,CDF_REAL4,Combined Differential Flux Uncertainty,epoch,combined_energy,,,support_data,RV,time_series,,combined_differential_flux_delta,F19.3,Differential Flux Uncertainty,cm!E-2!N sr!E-1!N s!E-1!N (eV/q)!E-1!N',0,9223372036854775807,-1.000000e+31,combined_energy_label,,,,,,,,,,,,,,,,,,,,,,,
combined_energy_label,CDF_CHAR,Label for combined energy,,,,,metadata,NRV,,,Combined Energy Label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
