NAME,DATA_TYPE,CATDESC,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,VAR_TYPE,RECORD_VARYING,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,UNIT_PTR,SCALE_TYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
halo_temperature_theta_rtn_integrated,CDF_REAL4,Halo Temperature Theta Rtn Integrated,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Halo Temperature theta Rtn Integrated,F15.3,Halo Temperature Theta Rtn Integrated,K,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
total_temperature_theta_rtn_integrated,CDF_REAL4,Total Temperature Theta Rtn Integrated,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Total Temperature theta Rtn Integrated,F15.3,Total Temperature Theta Rtn Integrated,K,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
core_temperature_tensor_integrated,CDF_REAL4,Core Temperature Tensor Integrated,epoch,tensor_id,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core Temperature Tensor Integrated,F15.3,Core Temperature Tensor Integrated,,-10000000000,10000000000,-1.00E+31,temperature_tensor_label,,,,,,,,,,,,,,,,,,,,,,,
halo_temperature_tensor_integrated,CDF_REAL4,Halo Temperature Tensor Integrated,epoch,tensor_id,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Halo Temperature Tensor Integrated,F15.3,Halo Temperature Tensor Integrated,,-10000000000,10000000000,-1.00E+31,temperature_tensor_label,,,,,,,,,,,,,,,,,,,,,,,
total_temperature_tensor_integrated,CDF_REAL4,Total Temperature Tensor Integrated,epoch,tensor_id,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Total Temperature Tensor Integrated,F15.3,Total Temperature Tensor Integrated,,-10000000000,10000000000,-1.00E+31,temperature_tensor_label,,,,,,,,,,,,,,,,,,,,,,,
core_heat_flux_magnitude_integrated,CDF_REAL4,Core Heat Flux Magnitude Integrated,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core Heat Flux Magnitude Integrated,F15.3,Core Heat Flux Magnitude Integrated,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
core_heat_flux_theta_integrated,CDF_REAL4,Core Heat Flux Theta Integrated,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core Heat Flux theta Integrated,F15.3,Core Heat Flux Theta Integrated,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
core_heat_flux_phi_integrated,CDF_REAL4,Core Heat Flux Phi Integrated,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Core Heat Flux phi Integrated,F15.3,Core Heat Flux Phi Integrated,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
halo_heat_flux_magnitude_integrated,CDF_REAL4,Halo Heat Flux Magnitude Integrated,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Halo Heat Flux Magnitude Integrated,F15.3,Halo Heat Flux Magnitude Integrated,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
halo_heat_flux_theta_integrated,CDF_REAL4,Halo Heat Flux Theta Integrated,epoch,,,,data,RV,time_series,"PRIMARY_VAR,SUMMARY",Halo Heat Flux theta Integrated,F15.3,Halo Heat Flux Theta Integrated,,0,10000000000,-1.00E+31,,,,,,,,,,,,,,,,,,,,,,,,
