NAME,Data shape,DATA_TYPE,CATDESC,VAR_TYPE,RECORD_VARYING,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,LABL_PTRS,UNIT_PTR,SCALETYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
fe_intensity_pa,"(epoch, fe_energy, pitch_angle)",CDF_REAL4,Fe intensity by pitch angle,data,RV,epoch,fe_energy,pitch_angle,,spectrogram,"PRIMARY_VAR,SUMMARY",Fe_Intensity_PA,g9.3,Fe Intensity PA,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,fe_energy_label,pitch_angle_label,,,,log,,,,,,,,,fe_intensity_pa_delta_plus,fe_intensity_pa_delta_minus,,,,0.0001,1000,,,,
h_intensity_delta_plus,"(epoch, h_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for H by pitch angle and gyrophase,support_data,RV,epoch,h_energy,pitch_angle,gyrophase,spectrogram,,H_Plus_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,h_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_intensity_delta_minus,"(epoch, h_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for H by pitch angle and gyrophase,support_data,RV,epoch,h_energy,pitch_angle,gyrophase,spectrogram,,H_Minus_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,h_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_intensity_delta_plus,"(epoch, he4_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for He4 by pitch angle and gyrophase,support_data,RV,epoch,he4_energy,pitch_angle,gyrophase,spectrogram,,He4_Plus_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,he4_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_intensity_delta_minus,"(epoch, he4_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for He4 by pitch angle and gyrophase,support_data,RV,epoch,he4_energy,pitch_angle,gyrophase,spectrogram,,He4_Minus_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,he4_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_delta_plus,"(epoch, cno_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for CNO by pitch angle and gyrophase,support_data,RV,epoch,cno_energy,pitch_angle,gyrophase,spectrogram,,CNO_Plus_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,cno_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_delta_minus,"(epoch, cno_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for CNO by pitch angle and gyrophase,support_data,RV,epoch,cno_energy,pitch_angle,gyrophase,spectrogram,,CNO_Minus_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,cno_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_delta_plus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for NeMgSi by pitch angle and gyrophase,support_data,RV,epoch,nemgsi_energy,pitch_angle,gyrophase,spectrogram,,NeMgSi_Plus_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,nemgsi_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_delta_minus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for NeMgSi by pitch angle and gyrophase,support_data,RV,epoch,nemgsi_energy,pitch_angle,gyrophase,spectrogram,,NeMgSi_Minus_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,nemgsi_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_intensity_delta_plus,"(epoch, fe_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for Fe by pitch angle and gyrophase,support_data,RV,epoch,fe_energy,pitch_angle,gyrophase,spectrogram,,Fe_Plus_Uncertainty,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,fe_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
