TOF Bit,E/n (MeV/n),E/n Lower (MeV/n),E/n Upper (MeV/n)
341,41.17854287,38.96577466,43.51696861
342,45.98818766,43.51696861,48.59974101
343,51.3595979,48.59974101,54.27618012
344,57.35838769,54.27618012,60.61562607
345,64.05783481,60.61562607,67.69551792
346,71.53977589,67.69551792,75.60233959
347,79.89560605,75.60233959,84.4326763
348,89.22739534,84.4326763,94.2943944
349,99.64913558,94.2943944,105.307959
350,111.2881328,105.307959,117.6079056
351,124.2865623,117.6079056,131.3444832
352,138.8032056,131.3444832,146.6854901
353,155.0153896,146.6854901,163.8183232
354,173.1211532,163.8183232,182.9522674
355,193.3416659,182.9522674,204.3210522
356,215.9239302,204.3210522,228.1857064
357,241.1437979,228.1857064,254.8377469
358,269.3093407,254.8377469,284.6027399
359,300.7646128,284.6027399,317.8442776
360,335.8938537,317.8442776,354.9684197
361,375.1261822,354.9684197,396.4286534
362,418.9408382,396.4286534,442.7314332
363,467.8730363,442.7314332,494.4423677
364,522.5205045,494.4423677,552.193128
365,583.550785,552.193128,616.6891644
366,651.7093889,616.6891644,688.7183237
367,727.8289028,688.7183237,769.1604731
368,812.8391593,769.1604731,858.998248
369,907.7785951,858.998248,959.3290552
370,1013.806936,959.3290552,1071.378479
371,1132.219364,1071.378479,1196.51525
372,1264.462338,1196.51525,1336.26797
373,1412.151262,1336.26797,1492.343776
374,1577.090221,1492.343776,1666.649202
375,1761.294013,1666.649202,1861.313464
376,1967.012768,1861.313464,2078.714469
377,2196.759428,2078.714469,2321.507864
378,2453.340449,2321.507864,2592.659474
379,2739.890076,2592.659474,2895.481533
380,3059.908637,2895.481533,3233.673142
381,3417.305295,3233.673142,3611.365456
382,3816.445805,3611.365456,4033.172151
383,4262.20584,4033.172151,4504.245775
384,0.003441666341,0.003256725123,0.003637109904
385,0.003843652216,0.003637109904,0.004061923545
386,0.004292589953,0.004061923545,0.004536355325
387,0.004793963519,0.004536355325,0.005066200634
388,0.005353897409,0.005066200634,0.005657931758
389,0.005979231453,0.005657931758,0.006318776949
390,0.006677604378,0.006318776949,0.007056808713
391,0.007457547107,0.007056808713,0.007881042425
392,0.008328586976,0.007881042425,0.008801546454
393,0.009301364111,0.008801546454,0.009829565153
394,0.0103877614,0.009829565153,0.01097765621
395,0.01160104966,0.01097765621,0.01225984405
396,0.01295604972,0.01225984405,0.01369179115
397,0.01446931349,0.01369179115,0.01529098936
398,0.01615932614,0.01529098936,0.01707697357
399,0.01804673189,0.01707697357,0.01907156034
400,0.02015458622,0.01907156034,0.02129911441
401,0.02250863748,0.02129911441,0.02378684631
402,0.02513764141,0.02378684631,0.02656514475
403,0.02807371242,0.02656514475,0.02966794784
404,0.03135271588,0.02966794784,0.03313315765
405,0.03501470623,0.03313315765,0.03700310321
406,0.03910441625,0.03700310321,0.04132505756
407,0.04367180351,0.04132505756,0.04615181524
408,0.04877266059,0.04615181524,0.05154233715
409,0.05446929667,0.05154233715,0.05756247084
410,0.06083129859,0.05756247084,0.06428575483
411,0.06793638094,0.06428575483,0.07179431692
412,0.07587133536,0.07179431692,0.08017987741
413,0.08473309072,0.08017987741,0.08954486954
414,0.09462989716,0.08954486954,0.1000036907
415,0.1056826484,0.1000036907,0.1116840999
416,0.1180263586,0.1116840999,0.1247287783
417,0.1318118115,0.1247287783,0.1392970723
418,0.1472074022,0.1392970723,0.1555669398
419,0.1644011945,0.1555669398,0.1737371243
420,0.183603218,0.1737371243,0.1940295824
421,0.2050480337,0.1940295824,0.2166921951
422,0.2289975991,0.2166921951,0.242001796
423,0.2557444685,0.242001796,0.2702675528
424,0.2856153665,0.2702675528,0.3018347438
425,0.3189751787,0.3018347438,0.3370889758
426,0.3562314097,0.3370889758,0.3764608943
427,0.3978391604,0.3764608943,0.4204314443
428,0.4443066872,0.4204314443,0.469537745
429,0.496201611,0.469537745,0.5243796507
430,0.5541578505,0.5243796507,0.5856270791
431,0.618883366,0.5856270791,0.6540281937
432,0.6911688077,0.6540281937,0.7304185435
433,0.771897173,0.7304185435,0.8157312695
434,0.8620545938,0.8157312695,0.9110085031
435,0.9627423816,0.9110085031,1.017414097
436,1.075190481,1.017414097,1.13624784
437,1.200772494,1.13624784,1.268961339
438,1.341022458,1.268961339,1.417175746
439,1.497653587,1.417175746,1.582701563
440,1.672579198,1.582701563,1.767560759
441,1.867936083,1.767560759,1.974011468
442,2.086110608,1.974011468,2.204575575
443,2.32976787,2.204575575,2.46206952
444,2.601884247,2.46206952,2.749638701
445,2.905783757,2.749638701,3.070795899
446,3.245178664,3.070795899,3.429464187
447,3.624214821,3.429464187,3.830024853
448,4.047522319,3.830024853,4.277370917
449,4.520272039,4.277370917,4.776966904
450,5.048238823,4.776966904,5.334915592
451,5.637872012,5.334915592,5.958032565
452,6.296374229,5.958032565,6.653929464
453,7.03178936,6.653929464,7.431106968
454,7.853100817,7.431106968,8.299058635
455,8.770341273,8.299058635,9.268386866
456,9.794715213,9.268386866,10.35093242
457,10.93873581,10.35093242,11.55991906
458,12.21637775,11.55991906,12.91011508
459,13.643248,12.91011508,14.41801369
460,15.23677638,14.41801369,16.10203453
461,17.01642852,16.10203453,17.98274864
462,19.00394365,17.98274864,20.08312974
463,21.2236001,20.08312974,22.4288349
464,23.70251195,22.4288349,25.0485179
465,26.47096015,25.0485179,27.97417931
466,29.5627625,27.97417931,31.24155733
467,33.01568668,31.24155733,34.89056438
468,36.87191166,34.89056438,38.96577466
469,41.17854287,38.96577466,43.51696861
470,45.98818766,43.51696861,48.59974101
471,51.3595979,48.59974101,54.27618012
472,57.35838769,54.27618012,60.61562607
473,64.05783481,60.61562607,67.69551792
474,71.53977589,67.69551792,75.60233959
475,79.89560605,75.60233959,84.4326763
476,89.22739534,84.4326763,94.2943944
477,99.64913558,94.2943944,105.307959
478,111.2881328,105.307959,117.6079056
479,124.2865623,117.6079056,131.3444832
480,138.8032056,131.3444832,146.6854901
481,155.0153896,146.6854901,163.8183232
482,173.1211532,163.8183232,182.9522674
483,193.3416659,182.9522674,204.3210522
484,215.9239302,204.3210522,228.1857064
485,241.1437979,228.1857064,254.8377469
486,269.3093407,254.8377469,284.6027399
487,300.7646128,284.6027399,317.8442776
488,335.8938537,317.8442776,354.9684197
489,375.1261822,354.9684197,396.4286534
490,418.9408382,396.4286534,442.7314332
491,467.8730363,442.7314332,494.4423677
492,522.5205045,494.4423677,552.193128
493,583.550785,552.193128,616.6891644
494,651.7093889,616.6891644,688.7183237
495,727.8289028,688.7183237,769.1604731
496,812.8391593,769.1604731,858.998248
497,907.7785951,858.998248,959.3290552
498,1013.806936,959.3290552,1071.378479
499,1132.219364,1071.378479,1196.51525
500,1264.462338,1196.51525,1336.26797
501,1412.151262,1336.26797,1492.343776
502,1577.090221,1492.343776,1666.649202
503,1761.294013,1666.649202,1861.313464
504,1967.012768,1861.313464,2078.714469
505,2196.759428,2078.714469,2321.507864
506,2453.340449,2321.507864,2592.659474
507,2739.890076,2592.659474,2895.481533
508,3059.908637,2895.481533,3233.673142
509,3417.305295,3233.673142,3611.365456
510,3816.445805,3611.365456,4033.172151
511,4262.20584,4033.172151,4504.245775
512,0.003441666341,0.003256725123,0.003637109904
513,0.003843652216,0.003637109904,0.004061923545
514,0.004292589953,0.004061923545,0.004536355325
515,0.004793963519,0.004536355325,0.005066200634
516,0.005353897409,0.005066200634,0.005657931758
517,0.005979231453,0.005657931758,0.006318776949
518,0.006677604378,0.006318776949,0.007056808713
519,0.007457547107,0.007056808713,0.007881042425
520,0.008328586976,0.007881042425,0.008801546454
521,0.009301364111,0.008801546454,0.009829565153
522,0.0103877614,0.009829565153,0.01097765621
523,0.01160104966,0.01097765621,0.01225984405
524,0.01295604972,0.01225984405,0.01369179115
525,0.01446931349,0.01369179115,0.01529098936
526,0.01615932614,0.01529098936,0.01707697357
527,0.01804673189,0.01707697357,0.01907156034
528,0.02015458622,0.01907156034,0.02129911441
529,0.02250863748,0.02129911441,0.02378684631
530,0.02513764141,0.02378684631,0.02656514475
531,0.02807371242,0.02656514475,0.02966794784
532,0.03135271588,0.02966794784,0.03313315765
533,0.03501470623,0.03313315765,0.03700310321
534,0.03910441625,0.03700310321,0.04132505756
535,0.04367180351,0.04132505756,0.04615181524
536,0.04877266059,0.04615181524,0.05154233715
537,0.05446929667,0.05154233715,0.05756247084
538,0.06083129859,0.05756247084,0.06428575483
539,0.06793638094,0.06428575483,0.07179431692
540,0.07587133536,0.07179431692,0.08017987741
541,0.08473309072,0.08017987741,0.08954486954
542,0.09462989716,0.08954486954,0.1000036907
543,0.1056826484,0.1000036907,0.1116840999
544,0.1180263586,0.1116840999,0.1247287783
545,0.1318118115,0.1247287783,0.1392970723
546,0.1472074022,0.1392970723,0.1555669398
547,0.1644011945,0.1555669398,0.1737371243
548,0.183603218,0.1737371243,0.1940295824
549,0.2050480337,0.1940295824,0.2166921951
550,0.2289975991,0.2166921951,0.242001796
551,0.2557444685,0.242001796,0.2702675528
552,0.2856153665,0.2702675528,0.3018347438
553,0.3189751787,0.3018347438,0.3370889758
554,0.3562314097,0.3370889758,0.3764608943
555,0.3978391604,0.3764608943,0.4204314443
556,0.4443066872,0.4204314443,0.469537745
557,0.496201611,0.469537745,0.5243796507
558,0.5541578505,0.5243796507,0.5856270791
559,0.618883366,0.5856270791,0.6540281937
560,0.6911688077,0.6540281937,0.7304185435
561,0.771897173,0.7304185435,0.8157312695
562,0.8620545938,0.8157312695,0.9110085031
563,0.9627423816,0.9110085031,1.017414097
564,1.075190481,1.017414097,1.13624784
565,1.200772494,1.13624784,1.268961339
566,1.341022458,1.268961339,1.417175746
567,1.497653587,1.417175746,1.582701563
568,1.672579198,1.582701563,1.767560759
569,1.867936083,1.767560759,1.974011468
570,2.086110608,1.974011468,2.204575575
571,2.32976787,2.204575575,2.46206952
572,2.601884247,2.46206952,2.749638701
573,2.905783757,2.749638701,3.070795899
574,3.245178664,3.070795899,3.429464187
575,3.624214821,3.429464187,3.830024853
576,4.047522319,3.830024853,4.277370917
577,4.520272039,4.277370917,4.776966904
578,5.048238823,4.776966904,5.334915592
579,5.637872012,5.334915592,5.958032565
580,6.296374229,5.958032565,6.653929464
581,7.03178936,6.653929464,7.431106968
582,7.853100817,7.431106968,8.299058635
583,8.770341273,8.299058635,9.268386866
584,9.794715213,9.268386866,10.35093242
585,10.93873581,10.35093242,11.55991906
586,12.21637775,11.55991906,12.91011508
587,13.643248,12.91011508,14.41801369
588,15.23677638,14.41801369,16.10203453
589,17.01642852,16.10203453,17.98274864
590,19.00394365,17.98274864,20.08312974
591,21.2236001,20.08312974,22.4288349
592,23.70251195,22.4288349,25.0485179
593,26.47096015,25.0485179,27.97417931
594,29.5627625,27.97417931,31.24155733
595,33.01568668,31.24155733,34.89056438
596,36.87191166,34.89056438,38.96577466
597,41.17854287,38.96577466,43.51696861
598,45.98818766,43.51696861,48.59974101
599,51.3595979,48.59974101,54.27618012
600,57.35838769,54.27618012,60.61562607
601,64.05783481,60.61562607,67.69551792
602,71.53977589,67.69551792,75.60233959
603,79.89560605,75.60233959,84.4326763
604,89.22739534,84.4326763,94.2943944
605,99.64913558,94.2943944,105.307959
606,111.2881328,105.307959,117.6079056
607,124.2865623,117.6079056,131.3444832
608,138.8032056,131.3444832,146.6854901
609,155.0153896,146.6854901,163.8183232
610,173.1211532,163.8183232,182.9522674
611,193.3416659,182.9522674,204.3210522
612,215.9239302,204.3210522,228.1857064
613,241.1437979,228.1857064,254.8377469
614,269.3093407,254.8377469,284.6027399
615,300.7646128,284.6027399,317.8442776
616,335.8938537,317.8442776,354.9684197
617,375.1261822,354.9684197,396.4286534
618,418.9408382,396.4286534,442.7314332
619,467.8730363,442.7314332,494.4423677
620,522.5205045,494.4423677,552.193128
621,583.550785,552.193128,616.6891644
622,651.7093889,616.6891644,688.7183237
623,727.8289028,688.7183237,769.1604731
624,812.8391593,769.1604731,858.998248
625,907.7785951,858.998248,959.3290552
626,1013.806936,959.3290552,1071.378479
627,1132.219364,1071.378479,1196.51525
628,1264.462338,1196.51525,1336.26797
629,1412.151262,1336.26797,1492.343776
630,1577.090221,1492.343776,1666.649202
631,1761.294013,1666.649202,1861.313464
632,1967.012768,1861.313464,2078.714469
633,2196.759428,2078.714469,2321.507864
634,2453.340449,2321.507864,2592.659474
635,2739.890076,2592.659474,2895.481533
636,3059.908637,2895.481533,3233.673142
637,3417.305295,3233.673142,3611.365456
638,3816.445805,3611.365456,4033.172151
639,4262.20584,4033.172151,4504.245775
640,0.003441666341,0.003256725123,0.003637109904
641,0.003843652216,0.003637109904,0.004061923545
642,0.004292589953,0.004061923545,0.004536355325
643,0.004793963519,0.004536355325,0.005066200634
644,0.005353897409,0.005066200634,0.005657931758
645,0.005979231453,0.005657931758,0.006318776949
646,0.006677604378,0.006318776949,0.007056808713
647,0.007457547107,0.007056808713,0.007881042425
648,0.008328586976,0.007881042425,0.008801546454
649,0.009301364111,0.008801546454,0.009829565153
650,0.0103877614,0.009829565153,0.01097765621
651,0.01160104966,0.01097765621,0.01225984405
652,0.01295604972,0.01225984405,0.01369179115
653,0.01446931349,0.01369179115,0.01529098936
654,0.01615932614,0.01529098936,0.01707697357
655,0.01804673189,0.01707697357,0.01907156034
656,0.02015458622,0.01907156034,0.02129911441
657,0.02250863748,0.02129911441,0.02378684631
658,0.02513764141,0.02378684631,0.02656514475
659,0.02807371242,0.02656514475,0.02966794784
660,0.03135271588,0.02966794784,0.03313315765
661,0.03501470623,0.03313315765,0.03700310321
662,0.03910441625,0.03700310321,0.04132505756
663,0.04367180351,0.04132505756,0.04615181524
664,0.04877266059,0.04615181524,0.05154233715
665,0.05446929667,0.05154233715,0.05756247084
666,0.06083129859,0.05756247084,0.06428575483
667,0.06793638094,0.06428575483,0.07179431692
668,0.07587133536,0.07179431692,0.08017987741
669,0.08473309072,0.08017987741,0.08954486954
670,0.09462989716,0.08954486954,0.1000036907
671,0.1056826484,0.1000036907,0.1116840999
672,0.1180263586,0.1116840999,0.1247287783
673,0.1318118115,0.1247287783,0.1392970723
674,0.1472074022,0.1392970723,0.1555669398
675,0.1644011945,0.1555669398,0.1737371243
676,0.183603218,0.1737371243,0.1940295824
677,0.2050480337,0.1940295824,0.2166921951
678,0.2289975991,0.2166921951,0.242001796
679,0.2557444685,0.242001796,0.2702675528
680,0.2856153665,0.2702675528,0.3018347438
681,0.3189751787,0.3018347438,0.3370889758
682,0.3562314097,0.3370889758,0.3764608943
683,0.3978391604,0.3764608943,0.4204314443
684,0.4443066872,0.4204314443,0.469537745
685,0.496201611,0.469537745,0.5243796507
686,0.5541578505,0.5243796507,0.5856270791
687,0.618883366,0.5856270791,0.6540281937
688,0.6911688077,0.6540281937,0.7304185435
689,0.771897173,0.7304185435,0.8157312695
690,0.8620545938,0.8157312695,0.9110085031
691,0.9627423816,0.9110085031,1.017414097
692,1.075190481,1.017414097,1.13624784
693,1.200772494,1.13624784,1.268961339
694,1.341022458,1.268961339,1.417175746
695,1.497653587,1.417175746,1.582701563
696,1.672579198,1.582701563,1.767560759
697,1.867936083,1.767560759,1.974011468
698,2.086110608,1.974011468,2.204575575
699,2.32976787,2.204575575,2.46206952
700,2.601884247,2.46206952,2.749638701
701,2.905783757,2.749638701,3.070795899
702,3.245178664,3.070795899,3.429464187
703,3.624214821,3.429464187,3.830024853
704,4.047522319,3.830024853,4.277370917
705,4.520272039,4.277370917,4.776966904
706,5.048238823,4.776966904,5.334915592
707,5.637872012,5.334915592,5.958032565
708,6.296374229,5.958032565,6.653929464
709,7.03178936,6.653929464,7.431106968
710,7.853100817,7.431106968,8.299058635
711,8.770341273,8.299058635,9.268386866
712,9.794715213,9.268386866,10.35093242
713,10.93873581,10.35093242,11.55991906
714,12.21637775,11.55991906,12.91011508
715,13.643248,12.91011508,14.41801369
716,15.23677638,14.41801369,16.10203453
717,17.01642852,16.10203453,17.98274864
718,19.00394365,17.98274864,20.08312974
719,21.2236001,20.08312974,22.4288349
720,23.70251195,22.4288349,25.0485179
721,26.47096015,25.0485179,27.97417931
722,29.5627625,27.97417931,31.24155733
723,33.01568668,31.24155733,34.89056438
724,36.87191166,34.89056438,38.96577466
725,41.17854287,38.96577466,43.51696861
726,45.98818766,43.51696861,48.59974101
727,51.3595979,48.59974101,54.27618012
728,57.35838769,54.27618012,60.61562607
729,64.05783481,60.61562607,67.69551792
730,71.53977589,67.69551792,75.60233959
731,79.89560605,75.60233959,84.4326763
