TOF Bit,E/n (MeV/n),E/n Lower (MeV/n),E/n Upper (MeV/n)
883,1132.219364,1071.378479,1196.51525
884,1264.462338,1196.51525,1336.26797
885,1412.151262,1336.26797,1492.343776
886,1577.090221,1492.343776,1666.649202
887,1761.294013,1666.649202,1861.313464
888,1967.012768,1861.313464,2078.714469
889,2196.759428,2078.714469,2321.507864
890,2453.340449,2321.507864,2592.659474
891,2739.890076,2592.659474,2895.481533
892,3059.908637,2895.481533,3233.673142
893,3417.305295,3233.673142,3611.365456
894,3816.445805,3611.365456,4033.172151
895,4262.20584,4033.172151,4504.245775
896,0.003441666341,0.003256725123,0.003637109904
897,0.003843652216,0.003637109904,0.004061923545
898,0.004292589953,0.004061923545,0.004536355325
899,0.004793963519,0.004536355325,0.005066200634
900,0.005353897409,0.005066200634,0.005657931758
901,0.005979231453,0.005657931758,0.006318776949
902,0.006677604378,0.006318776949,0.007056808713
903,0.007457547107,0.007056808713,0.007881042425
904,0.008328586976,0.007881042425,0.008801546454
905,0.009301364111,0.008801546454,0.009829565153
906,0.0103877614,0.009829565153,0.01097765621
907,0.01160104966,0.01097765621,0.01225984405
908,0.01295604972,0.01225984405,0.01369179115
909,0.01446931349,0.01369179115,0.01529098936
910,0.01615932614,0.01529098936,0.01707697357
911,0.01804673189,0.01707697357,0.01907156034
912,0.02015458622,0.01907156034,0.02129911441
913,0.02250863748,0.02129911441,0.02378684631
914,0.02513764141,0.02378684631,0.02656514475
915,0.02807371242,0.02656514475,0.02966794784
916,0.03135271588,0.02966794784,0.03313315765
917,0.03501470623,0.03313315765,0.03700310321
918,0.03910441625,0.03700310321,0.04132505756
919,0.04367180351,0.04132505756,0.04615181524
920,0.04877266059,0.04615181524,0.05154233715
921,0.05446929667,0.05154233715,0.05756247084
922,0.06083129859,0.05756247084,0.06428575483
923,0.06793638094,0.06428575483,0.07179431692
924,0.07587133536,0.07179431692,0.08017987741
925,0.08473309072,0.08017987741,0.08954486954
926,0.09462989716,0.08954486954,0.1000036907
927,0.1056826484,0.1000036907,0.1116840999
928,0.1180263586,0.1116840999,0.1247287783
929,0.1318118115,0.1247287783,0.1392970723
930,0.1472074022,0.1392970723,0.1555669398
931,0.1644011945,0.1555669398,0.1737371243
932,0.183603218,0.1737371243,0.1940295824
933,0.2050480337,0.1940295824,0.2166921951
934,0.2289975991,0.2166921951,0.242001796
935,0.2557444685,0.242001796,0.2702675528
936,0.2856153665,0.2702675528,0.3018347438
937,0.3189751787,0.3018347438,0.3370889758
938,0.3562314097,0.3370889758,0.3764608943
939,0.3978391604,0.3764608943,0.4204314443
940,0.4443066872,0.4204314443,0.469537745
941,0.496201611,0.469537745,0.5243796507
942,0.5541578505,0.5243796507,0.5856270791
943,0.618883366,0.5856270791,0.6540281937
944,0.6911688077,0.6540281937,0.7304185435
945,0.771897173,0.7304185435,0.8157312695
946,0.8620545938,0.8157312695,0.9110085031
947,0.9627423816,0.9110085031,1.017414097
948,1.075190481,1.017414097,1.13624784
949,1.200772494,1.13624784,1.268961339
950,1.341022458,1.268961339,1.417175746
951,1.497653587,1.417175746,1.582701563
952,1.672579198,1.582701563,1.767560759
953,1.867936083,1.767560759,1.974011468
954,2.086110608,1.974011468,2.204575575
955,2.32976787,2.204575575,2.46206952
956,2.601884247,2.46206952,2.749638701
957,2.905783757,2.749638701,3.070795899
958,3.245178664,3.070795899,3.429464187
959,3.624214821,3.429464187,3.830024853
960,4.047522319,3.830024853,4.277370917
961,4.520272039,4.277370917,4.776966904
962,5.048238823,4.776966904,5.334915592
963,5.637872012,5.334915592,5.958032565
964,6.296374229,5.958032565,6.653929464
965,7.03178936,6.653929464,7.431106968
966,7.853100817,7.431106968,8.299058635
967,8.770341273,8.299058635,9.268386866
968,9.794715213,9.268386866,10.35093242
969,10.93873581,10.35093242,11.55991906
970,12.21637775,11.55991906,12.91011508
971,13.643248,12.91011508,14.41801369
972,15.23677638,14.41801369,16.10203453
973,17.01642852,16.10203453,17.98274864
974,19.00394365,17.98274864,20.08312974
975,21.2236001,20.08312974,22.4288349
976,23.70251195,22.4288349,25.0485179
977,26.47096015,25.0485179,27.97417931
978,29.5627625,27.97417931,31.24155733
979,33.01568668,31.24155733,34.89056438
980,36.87191166,34.89056438,38.96577466
981,41.17854287,38.96577466,43.51696861
982,45.98818766,43.51696861,48.59974101
983,51.3595979,48.59974101,54.27618012
984,57.35838769,54.27618012,60.61562607
985,64.05783481,60.61562607,67.69551792
986,71.53977589,67.69551792,75.60233959
987,79.89560605,75.60233959,84.4326763
988,89.22739534,84.4326763,94.2943944
989,99.64913558,94.2943944,105.307959
990,111.2881328,105.307959,117.6079056
991,124.2865623,117.6079056,131.3444832
992,138.8032056,131.3444832,146.6854901
993,155.0153896,146.6854901,163.8183232
994,173.1211532,163.8183232,182.9522674
995,193.3416659,182.9522674,204.3210522
996,215.9239302,204.3210522,228.1857064
997,241.1437979,228.1857064,254.8377469
998,269.3093407,254.8377469,284.6027399
999,300.7646128,284.6027399,317.8442776
1000,335.8938537,317.8442776,354.9684197
