NAME,Data shape,DATA_TYPE,CATDESC,VAR_TYPE,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,DISPLAY_TYPE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTRS,UNIT_PTR,SCALETYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
he4_intensity_delta_minus,"(epoch, he4_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for He4 by pitch angle and gyrophase,support_data,epoch,he4_energy,pitch_angle,gyrophase,spectrogram,He4_Minus_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_delta_plus,"(epoch, cno_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for CNO by pitch angle and gyrophase,support_data,epoch,cno_energy,pitch_angle,gyrophase,spectrogram,CNO_Plus_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_delta_minus,"(epoch, cno_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for CNO by pitch angle and gyrophase,support_data,epoch,cno_energy,pitch_angle,gyrophase,spectrogram,CNO_Minus_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_delta_plus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for NeMgSi by pitch angle and gyrophase,support_data,epoch,nemgsi_energy,pitch_angle,gyrophase,spectrogram,NeMgSi_Plus_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_delta_minus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for NeMgSi by pitch angle and gyrophase,support_data,epoch,nemgsi_energy,pitch_angle,gyrophase,spectrogram,NeMgSi_Minus_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_intensity_delta_plus,"(epoch, fe_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for Fe by pitch angle and gyrophase,support_data,epoch,fe_energy,pitch_angle,gyrophase,spectrogram,Fe_Plus_Uncertainty,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_intensity_delta_minus,"(epoch, fe_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for Fe by pitch angle and gyrophase,support_data,epoch,fe_energy,pitch_angle,gyrophase,spectrogram,Fe_Minus_Uncertainty,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_intensity_pa_delta_plus,"(epoch, h_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for H by pitch angle ,support_data,epoch,h_energy,pitch_angle,,spectrogram,H_Plus_PA_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_intensity_pa_delta_minus,"(epoch, h_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for H by pitch angle ,support_data,epoch,h_energy,pitch_angle,,spectrogram,H_Minus_PA_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_intensity_pa_delta_plus,"(epoch, he4_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for He4 by pitch angle ,support_data,epoch,he4_energy,pitch_angle,,spectrogram,He4_Plus_PA_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
